station,mode,time,stage,reference,satellite,mean,variance,fractional,perr,selected,provisional_selected
DYNG,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G24,G25,0.0529196,0.0343203,0.0529196,0.00179769,0,0
DYNG,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G24,G32,-11.0497,0.079991,-0.0496949,0.084353,0,0
DYNG,ar,2024-07-17T00:23:00,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.429,2.34259,0.429184,0.819276,0,0
DYNG,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G24,G06,-3.95818,0.0413352,0.0418185,0.00531368,0,0
DYNG,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G24,G12,-27.9871,0.0183409,0.0128938,2.55604e-06,1,1
DYNG,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G24,G19,30.8998,0.0480097,-0.100156,0.0171719,0,0
DYNG,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G24,G25,0.0456399,0.0318102,0.0456399,0.00097891,1,1
DYNG,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G24,G32,-11.0355,0.0740398,-0.0354649,0.0656838,0,0
DYNG,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.446,2.25155,0.445994,0.816106,0,0
DYNG,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.4318,12.373,0.43181,0.915304,0,0
DYNG,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G24,G06,-3.95284,0.0385826,0.0471611,0.00364668,0,0
DYNG,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G24,G12,-27.985,0.0171355,0.0150089,1.01215e-06,1,1
DYNG,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G24,G19,30.8705,0.0450998,-0.129536,0.0170883,0,0
DYNG,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G24,G25,0.0426702,0.0296323,0.0426702,0.000550513,1,1
DYNG,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G24,G32,-11.0199,0.0688817,-0.0199295,0.0508921,0,0
DYNG,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.514,2.19248,-0.486421,0.814556,0,0
DYNG,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.6713,12.1116,-0.328685,0.914533,0,0
DYNG,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G24,G06,-3.94672,0.0361734,0.0532828,0.00255216,0,0
DYNG,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G24,G12,-27.9752,0.0160792,0.024804,4.64183e-07,1,1
DYNG,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G24,G19,30.8533,0.0425536,-0.146687,0.0159841,0,0
DYNG,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G24,G25,0.0520207,0.0277249,0.0520207,0.000357328,1,1
DYNG,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G24,G32,-11.0199,0.0643691,-0.0199351,0.0399731,0,0
DYNG,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.498,2.13647,0.497768,0.812519,0,0
DYNG,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.6966,11.8628,-0.303417,0.913846,0,0
NICO,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G24,G06,-14.9711,0.448514,0.0288969,0.578978,0,0
